timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1660568709724,6873,ApiLoginNormal,201,Created,PrivyNormalTest 1-4,text,true,,460,297,200,200,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,6873,0,5
1660568716598,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-4,text,true,,289,0,200,200,null,0,0,0
1660568709719,7042,ApiLoginNormal,201,Created,PrivyNormalTest 1-3,text,true,,460,297,199,199,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,7042,0,5
1660568716761,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-3,text,true,,289,0,199,199,null,0,0,0
1660568709709,7251,ApiLoginNormal,201,Created,PrivyNormalTest 1-1,text,true,,460,297,198,198,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,7250,0,5
1660568716960,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-1,text,true,,289,0,198,198,null,0,0,0
1660568709715,7440,ApiLoginNormal,201,Created,PrivyNormalTest 1-2,text,true,,460,297,197,197,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,7440,0,5
1660568717155,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-2,text,true,,289,0,197,197,null,0,0,0
1660568709729,7649,ApiLoginNormal,201,Created,PrivyNormalTest 1-5,text,true,,460,297,196,196,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,7649,0,4
1660568717378,1,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-5,text,true,,288,0,196,196,null,0,0,0
1660568709734,13315,ApiLoginNormal,201,Created,PrivyNormalTest 1-6,text,true,,460,297,195,195,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,13315,0,3
1660568723049,1,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-6,text,true,,289,0,195,195,null,0,0,0
1660568709744,13603,ApiLoginNormal,201,Created,PrivyNormalTest 1-8,text,true,,460,297,194,194,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,13603,0,5
1660568723347,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-8,text,true,,288,0,194,194,null,0,0,0
1660568709749,13868,ApiLoginNormal,201,Created,PrivyNormalTest 1-9,text,true,,460,297,193,193,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,13868,0,4
1660568723618,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-9,text,true,,289,0,193,193,null,0,0,0
1660568709739,14160,ApiLoginNormal,201,Created,PrivyNormalTest 1-7,text,true,,460,297,192,192,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,14160,0,4
1660568723899,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-7,text,true,,289,0,192,192,null,0,0,0
1660568709754,14582,ApiLoginNormal,201,Created,PrivyNormalTest 1-10,text,true,,460,297,191,191,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,14582,0,4
1660568724336,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-10,text,true,,289,0,191,191,null,0,0,0
1660568709758,19810,ApiLoginNormal,201,Created,PrivyNormalTest 1-11,text,true,,460,297,190,190,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,19810,0,5
1660568729568,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-11,text,true,,289,0,190,190,null,0,0,0
1660568709763,20364,ApiLoginNormal,201,Created,PrivyNormalTest 1-12,text,true,,460,297,189,189,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,20364,0,39
1660568730127,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-12,text,true,,290,0,189,189,null,0,0,0
1660568709768,20367,ApiLoginNormal,201,Created,PrivyNormalTest 1-13,text,true,,460,297,188,188,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,20367,0,55
1660568730135,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-13,text,true,,290,0,188,188,null,0,0,0
1660568709773,20684,ApiLoginNormal,201,Created,PrivyNormalTest 1-14,text,true,,460,297,187,187,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,20684,0,50
1660568730457,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-14,text,true,,290,0,187,187,null,0,0,0
1660568709779,20687,ApiLoginNormal,201,Created,PrivyNormalTest 1-15,text,true,,460,297,186,186,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,20687,0,44
1660568730466,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-15,text,true,,290,0,186,186,null,0,0,0
1660568709798,26520,ApiLoginNormal,201,Created,PrivyNormalTest 1-19,text,true,,460,297,185,185,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,26520,0,25
1660568736318,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-19,text,true,,290,0,185,185,null,0,0,0
1660568709789,27061,ApiLoginNormal,201,Created,PrivyNormalTest 1-17,text,true,,460,297,184,184,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,27061,0,34
1660568736850,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-17,text,true,,290,0,184,184,null,0,0,0
1660568709784,27294,ApiLoginNormal,201,Created,PrivyNormalTest 1-16,text,true,,460,297,183,183,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,27294,0,39
1660568737078,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-16,text,true,,290,0,183,183,null,0,0,0
1660568709803,27513,ApiLoginNormal,201,Created,PrivyNormalTest 1-20,text,true,,460,297,182,182,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,27513,0,20
1660568737316,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-20,text,true,,290,0,182,182,null,0,0,0
1660568709794,27683,ApiLoginNormal,201,Created,PrivyNormalTest 1-18,text,true,,460,297,181,181,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,27683,0,29
1660568737477,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-18,text,true,,290,0,181,181,null,0,0,0
1660568709808,37266,ApiLoginNormal,201,Created,PrivyNormalTest 1-21,text,true,,461,297,180,180,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,37266,0,19
1660568747074,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-21,text,true,,290,0,180,180,null,0,0,0
1660568709819,37952,ApiLoginNormal,201,Created,PrivyNormalTest 1-23,text,true,,461,297,179,179,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,37952,0,9
1660568747771,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-23,text,true,,290,0,179,179,null,0,0,0
1660568709815,37972,ApiLoginNormal,201,Created,PrivyNormalTest 1-22,text,true,,461,297,178,178,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,37971,0,12
1660568747787,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-22,text,true,,289,0,178,178,null,0,0,0
1660568709824,38540,ApiLoginNormal,201,Created,PrivyNormalTest 1-24,text,true,,461,297,177,177,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,38540,0,4
1660568748364,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-24,text,true,,290,0,177,177,null,0,0,0
1660568709829,38828,ApiLoginNormal,201,Created,PrivyNormalTest 1-25,text,true,,461,297,176,176,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,38828,0,4
1660568748657,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-25,text,true,,290,0,176,176,null,0,0,0
1660568709834,44783,ApiLoginNormal,201,Created,PrivyNormalTest 1-26,text,true,,460,297,175,175,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,44783,0,5
1660568754618,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-26,text,true,,290,0,175,175,null,0,0,0
1660568709844,45503,ApiLoginNormal,201,Created,PrivyNormalTest 1-28,text,true,,460,297,174,174,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,45503,0,8
1660568755347,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-28,text,true,,290,0,174,174,null,0,0,0
1660568709838,45853,ApiLoginNormal,201,Created,PrivyNormalTest 1-27,text,true,,460,297,173,173,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,45853,0,4
1660568755691,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-27,text,true,,289,0,173,173,null,0,0,0
1660568709850,46434,ApiLoginNormal,201,Created,PrivyNormalTest 1-29,text,true,,460,297,172,172,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,46434,0,6
1660568756284,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-29,text,true,,290,0,172,172,null,0,0,0
1660568709855,46569,ApiLoginNormal,201,Created,PrivyNormalTest 1-30,text,true,,460,297,171,171,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,46569,0,5
1660568756424,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-30,text,true,,290,0,171,171,null,0,0,0
1660568709859,51805,ApiLoginNormal,201,Created,PrivyNormalTest 1-31,text,true,,460,297,170,170,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,51805,0,7
1660568761665,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-31,text,true,,290,0,170,170,null,0,0,0
1660568709864,52364,ApiLoginNormal,201,Created,PrivyNormalTest 1-32,text,true,,460,297,169,169,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,52364,0,7
1660568762228,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-32,text,true,,290,0,169,169,null,0,0,0
1660568709869,52767,ApiLoginNormal,201,Created,PrivyNormalTest 1-33,text,true,,460,297,168,168,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,52767,0,4
1660568762636,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-33,text,true,,290,0,168,168,null,0,0,0
1660568709883,53644,ApiLoginNormal,201,Created,PrivyNormalTest 1-36,text,true,,460,297,167,167,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,53644,0,223
1660568763527,1,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-36,text,true,,290,0,167,167,null,0,0,0
1660568709909,53621,ApiLoginNormal,201,Created,PrivyNormalTest 1-41,text,true,,460,297,166,166,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,53621,0,197
1660568763530,0,Debug Sampler Api Login Normal,200,OK,PrivyNormalTest 1-41,text,true,,290,0,166,166,null,0,0,0
1660568709875,59622,ApiLoginNormal,201,Created,PrivyNormalTest 1-34,text,true,,460,297,165,165,http://pretest-qa.dcidev.id/api/v1/oauth/sign_in,59622,0,231
